年,週次,臺中市相對溼度_週平均
2016,47,74.43333333
2016,48,74.2
2016,49,74.06036866
2016,50,74.25806452
2016,51,74.48387097
2016,52,74.70967742
2017,1,74.9124424
2017,2,74.35483871
2017,3,73.4516129
2017,4,72.5483871
2017,5,71.64516129
2017,6,71.1714944
2017,7,71.64285714
2017,8,72.14285714
2017,9,72.64285714
2017,10,72.98979592
2017,11,73.0
2017,12,73.0
2017,13,73.0
2017,14,73.02857143
2017,15,73.4
2017,16,73.86666667
2017,17,74.33333333
2017,18,74.8
2017,19,75.77419355
2017,20,77.12903226
2017,21,78.48387097
2017,22,79.83870968
2017,23,80.77419355
2017,24,80.2
2017,25,79.5
2017,26,78.8
2017,27,78.12903226
2017,28,77.80645161
2017,29,77.58064516
2017,30,77.35483871
2017,31,77.12903226
2017,32,76.70967742
2017,33,76.03225806
2017,34,75.35483871
2017,35,74.67741935
2017,36,74.02580645
2017,37,73.53333333
2017,38,73.06666667
2017,39,72.6
2017,40,72.17511521
2017,41,73.12903226
2017,42,74.70967742
2017,43,76.29032258
2017,44,77.87096774
2017,45,78.75345622
2017,46,78.1
2017,47,77.4
2017,48,76.7
2017,49,76.22396313
2017,50,77.12903226
2017,51,78.25806452
2017,52,79.38709677
2018,1,80.51612903
2018,2,80.74193548
2018,3,80.29032258
2018,4,79.83870968
2018,5,79.38709677
2018,6,78.72152732
2018,7,77.28571429
2018,8,75.78571429
2018,9,74.28571429
2018,10,72.99967084
2018,11,72.48387097
2018,12,72.03225806
2018,13,71.58064516
2018,14,71.15253456
2018,15,71.5
2018,16,72.2
2018,17,72.9
2018,18,73.6
2018,19,74.19354839
2018,20,74.64516129
2018,21,75.09677419
2018,22,75.5483871
2018,23,76.11612903
2018,24,77.4
2018,25,78.8
2018,26,80.2
2018,27,81.57603687
2018,28,82.16129032
2018,29,82.38709677
2018,30,82.61290323
2018,31,82.83870968
2018,32,82.37327189
2018,33,80.38709677
2018,34,78.35483871
2018,35,76.32258065
2018,36,74.32903226
2018,37,72.8
2018,38,71.4
2018,39,70.0
2018,40,68.6
2018,41,68.90322581
2018,42,70.48387097
2018,43,72.06451613
2018,44,73.64516129
2018,45,74.76036866
2018,46,74.2
2018,47,73.5
2018,48,72.8
2018,49,72.1843318
2018,50,72.58064516
2018,51,73.25806452
2018,52,73.93548387
2019,1,74.61290323
2019,2,75.0
2019,3,75.0
2019,4,75.0
2019,5,75.0
2019,6,75.12244898
2019,7,76.0
2019,8,77.0
2019,9,78.0
2019,10,78.87755102
2019,11,79.0
2019,12,79.0
2019,13,79.0
2019,14,79.0
2019,15,79.4
2019,16,80.1
2019,17,80.8
2019,18,81.5
2019,19,81.77834101
2019,20,81.12903226
2019,21,80.4516129
2019,22,79.77419355
2019,23,79.13824885
2019,24,79.0
2019,25,79.0
2019,26,79.0
2019,27,79.0
2019,28,79.90322581
2019,29,81.48387097
2019,30,83.06451613
2019,31,84.64516129
2019,32,85.53456221
2019,33,83.93548387
2019,34,82.12903226
2019,35,80.32258065
2019,36,78.51966206
2019,37,76.83333333
2019,38,75.2
2019,39,73.56666667
2019,40,71.93333333
2019,41,70.80645161
2019,42,70.35483871
2019,43,69.90322581
2019,44,69.4516129
2019,45,69.22672811
2019,46,70.4
2019,47,71.8
2019,48,73.2
2019,49,74.57603687
2019,50,75.16129032
2019,51,75.38709677
2019,52,75.61290323
2020,1,75.83870968
2020,2,75.71889401
2020,3,74.83870968
2020,4,73.93548387
2020,5,73.03225806
2020,6,72.15477515
2020,7,71.5862069
2020,8,71.10344828
2020,9,70.62068966
2020,10,70.14778325
2020,11,70.0
2020,12,70.0
2020,13,70.0
2020,14,70.0
2020,15,70.35714286
2020,16,71.5
2020,17,72.66666667
2020,18,73.83333333
2020,19,74.71889401
2020,20,73.87096774
2020,21,72.74193548
2020,22,71.61290323
2020,23,70.48387097
2020,24,70.53333333
2020,25,71.46666667
2020,26,72.4
2020,27,73.33333333
2020,28,74.0500768
2020,29,74.29032258
2020,30,74.51612903
2020,31,74.74193548
2020,32,74.89861751
2020,33,74.22580645
2020,34,73.32258065
2020,35,72.41935484
2020,36,71.51612903
2020,37,70.8
2020,38,70.33333333
2020,39,69.86666667
2020,40,69.4
2020,41,69.16682028
2020,42,69.77419355
2020,43,70.4516129
2020,44,71.12903226
2020,45,71.81643625
2020,46,72.83333333
2020,47,74.0
2020,48,75.16666667
2020,49,76.33333333
2020,50,76.41935484
2020,51,75.06451613
2020,52,73.70967742
2020,53,72.35483871
2021,1,71.13824885
2021,2,70.77419355
2021,3,70.5483871
2021,4,70.32258065
2021,5,70.09677419
2021,6,70.42857143
2021,7,71.17857143
2021,8,71.92857143
2021,9,72.67857143
2021,10,72.61290323
2021,11,71.93548387
2021,12,71.25806452
2021,13,70.58064516
2021,14,70.04147465
2021,15,70.0
2021,16,70.0
2021,17,70.0
2021,18,70.15207373
2021,19,72.12903226
2021,20,74.61290323
2021,21,77.09677419
2021,22,79.58064516
2021,23,80.6
2021,24,79.66666667
2021,25,78.73333333
2021,26,77.8
2021,27,77.24147465
2021,28,78.03225806
2021,29,78.93548387
2021,30,79.83870968
2021,31,80.69124424
2021,32,79.87096774
2021,33,78.29032258
2021,34,76.70967742
2021,35,75.12903226
2021,36,73.81797235
2021,37,73.1
2021,38,72.4
2021,39,71.7
2021,40,71.11336406
2021,41,71.22580645
2021,42,71.4516129
2021,43,71.67741935
2021,44,71.90322581
2021,45,71.86666667
2021,46,71.63333333
2021,47,71.4
2021,48,71.16666667
2021,49,71.48863287
2021,50,73.03225806
2021,51,74.61290323
2021,52,76.19354839
2022,1,77.71889401
2022,2,78.58064516
2022,3,79.25806452
2022,4,79.93548387
2022,5,80.61290323
2022,6,80.46428571
2022,7,79.21428571
2022,8,77.96428571
2022,9,76.71428571
2022,10,75.70967742
2022,11,75.03225806
2022,12,74.35483871
2022,13,73.67741935
2022,14,73.36866359
2022,15,75.33333333
2022,16,77.66666667
2022,17,80.0
2022,18,82.25806452
2022,19,82.03225806
2022,20,80.67741935
2022,21,79.32258065
2022,22,77.96774194
2022,23,76.88479263
2022,24,76.4
2022,25,75.93333333
2022,26,75.46666667
2022,27,75.08479263
2022,28,75.22580645
2022,29,75.4516129
2022,30,75.67741935
2022,31,75.90322581
2022,32,75.48387097
2022,33,74.58064516
2022,34,73.67741935
2022,35,72.77419355
2022,36,72.00768049
2022,37,71.73333333
2022,38,71.5
2022,39,71.26666667
2022,40,71.14439324
2022,41,72.35483871
2022,42,73.93548387
2022,43,75.51612903
2022,44,77.09677419
2022,45,77.1
2022,46,75.0
2022,47,72.9
2022,48,70.8
2022,49,69.31290323
2022,50,70.03225806
2022,51,70.93548387
2022,52,71.83870968
2023,1,72.71889401
2023,2,72.83870968
2023,3,72.61290323
2023,4,72.38709677
2023,5,72.16129032
2023,6,71.69848585
2023,7,70.71428571
2023,8,69.71428571
2023,9,68.71428571
2023,10,68.36603028
2023,11,69.4516129
2023,12,70.58064516
2023,13,71.70967742
2023,14,72.78387097
2023,15,73.2
2023,16,73.43333333
2023,17,73.66666667
2023,18,73.9
2023,19,74.38709677
2023,20,75.06451613
2023,21,75.74193548
2023,22,76.41935484
2023,23,76.8156682
2023,24,76.2
2023,25,75.5
2023,26,74.8
2023,27,74.21198157
2023,28,74.96774194
2023,29,76.09677419
2023,30,77.22580645
2023,31,78.35483871
2023,32,79.0
2023,33,79.0
2023,34,79.0
2023,35,79.0
2023,36,78.85714286
2023,37,77.83333333
2023,38,76.66666667
2023,39,75.5
2023,40,74.32949309
2023,41,73.03225806
2023,42,71.67741935
2023,43,70.32258065
2023,44,68.96774194
2023,45,68.38479263
2023,46,69.5
2023,47,70.66666667
2023,48,71.83333333
2023,49,72.82949309
2023,50,72.77419355
2023,51,72.5483871
2023,52,72.32258065
2024,1,72.09677419
2024,2,71.87096774
2024,3,71.64516129
2024,4,71.41935484
2024,5,71.19354839
2024,6,70.91530272
2024,7,70.44827586
2024,8,69.96551724
2024,9,69.48275862
2024,10,69.22501192
2024,11,70.35483871
2024,12,71.70967742
2024,13,73.06451613
2024,14,74.41935484
2024,15,74.73333333
2024,16,74.26666667
2024,17,73.8
2024,18,73.33333333
2024,19,73.14777266
2024,20,73.58064516
2024,21,74.03225806
2024,22,74.48387097
2024,23,74.87926267
2024,24,74.6
2024,25,74.13333333
2024,26,73.66666667
2024,27,73.2
2024,28,73.25806452
2024,29,73.70967742
2024,30,74.16129032
2024,31,74.61290323
2024,32,75.15668203
2024,33,76.03225806
2024,34,76.93548387
2024,35,77.83870968
2024,36,78.70921659
2024,37,78.5
2024,38,77.8
2024,39,77.1
2024,40,76.4
2024,41,75.80645161
2024,42,75.35483871
2024,43,74.90322581
2024,44,74.4516129
2024,45,73.99815668
2024,46,73.53333333
2024,47,73.06666667
2024,48,72.6
2024,49,72.12903226
2024,50,71.51612903
2024,51,70.83870968
2024,52,70.16129032
2025,1,69.48387097
2025,2,69.42857143
2025,3,70.74193548
2025,4,72.09677419
2025,5,73.4516129
2025,6,74.69289006
2025,7,74.57142857
2025,8,74.07142857
2025,9,73.57142857
2025,10,73.08821593
2025,11,72.80645161
2025,12,72.58064516
2025,13,72.35483871
2025,14,72.12903226
2025,15,72.2
2025,16,72.66666667
2025,17,73.13333333
2025,18,73.6
2025,19,74.01751152
2025,20,74.25806452
2025,21,74.48387097
2025,22,74.70967742
2025,23,74.96420891
2025,24,76.16666667
2025,25,77.8
2025,26,79.43333333
2025,27,81.06666667
2025,28,81.41935484
2025,29,80.06451613
2025,30,78.70967742
2025,31,77.35483871
2025,32,76.22119816
2025,33,76.4516129
2025,34,76.90322581
2025,35,77.35483871
2025,36,77.80645161
2025,37,77.33333333
2025,38,76.16666667
2025,39,75.0
2025,40,73.83333333
2025,41,72.81643625
2025,42,75.90178571
2025,43,75.7766057
2025,44,75.57932658
2025,45,75.30093595
2025,46,75.04688627
2025,47,74.90691372
2025,48,74.89527794
2025,49,75.02802102
2025,50,75.30446911
2025,51,75.22980454
2025,52,74.70238095238096
2025,53,75.10922037
2026,1,70.43452380952381
2026,2,61.13095238095239
2026,3,62.476190476190474
