年,週次,臺中市氣溫_週平均
2016,47,21.7
2016,48,21.0
2016,49,20.37373272
2016,50,20.01290323
2016,51,19.67419355
2016,52,19.33548387
2017,1,18.99953917
2017,2,18.75483871
2017,3,18.5516129
2017,4,18.3483871
2017,5,18.14516129
2017,6,18.17251481
2017,7,18.70714286
2017,8,19.25714286
2017,9,19.80714286
2017,10,20.39614878
2017,11,21.07096774
2017,12,21.7483871
2017,13,22.42580645
2017,14,23.11175115
2017,15,23.9
2017,16,24.71666667
2017,17,25.53333333
2017,18,26.35
2017,19,26.85483871
2017,20,27.12580645
2017,21,27.39677419
2017,22,27.66774194
2017,23,27.92150538
2017,24,28.11333333
2017,25,28.3
2017,26,28.48666667
2017,27,28.67158218
2017,28,28.83548387
2017,29,28.99354839
2017,30,29.1516129
2017,31,29.30967742
2017,32,29.39032258
2017,33,29.36774194
2017,34,29.34516129
2017,35,29.32258065
2017,36,29.22276498
2017,37,28.64666667
2017,38,27.99333333
2017,39,27.34
2017,40,26.68525346
2017,41,25.98387097
2017,42,25.26129032
2017,43,24.53870968
2017,44,23.81612903
2017,45,22.9718894
2017,46,21.86
2017,47,20.74
2017,48,19.62
2017,49,18.60396313
2017,50,18.22903226
2017,51,17.95806452
2017,52,17.68709677
2018,1,17.41612903
2018,2,17.19677419
2018,3,17.01612903
2018,4,16.83548387
2018,5,16.65483871
2018,6,16.73044766
2018,7,17.72857143
2018,8,18.80357143
2018,9,19.87857143
2018,10,20.895474
2018,11,21.70322581
2018,12,22.49354839
2018,13,23.28387097
2018,14,24.07711214
2018,15,24.96666667
2018,16,25.9
2018,17,26.83333333
2018,18,27.76666667
2018,19,28.33870968
2018,20,28.42903226
2018,21,28.51935484
2018,22,28.60967742
2018,23,28.68608295
2018,24,28.67666667
2018,25,28.65333333
2018,26,28.63
2018,27,28.60391705
2018,28,28.48709677
2018,29,28.32903226
2018,30,28.17096774
2018,31,28.01290323
2018,32,27.93087558
2018,33,28.01612903
2018,34,28.10645161
2018,35,28.19677419
2018,36,28.23299539
2018,37,27.62
2018,38,26.82666667
2018,39,26.03333333
2018,40,25.24
2018,41,24.70645161
2018,42,24.36774194
2018,43,24.02903226
2018,44,23.69032258
2018,45,23.2969278
2018,46,22.70666667
2018,47,22.1
2018,48,21.49333333
2018,49,20.9030722
2018,50,20.50967742
2018,51,20.17096774
2018,52,19.83225806
2019,1,19.49354839
2019,2,19.41612903
2019,3,19.68709677
2019,4,19.95806452
2019,5,20.22903226
2019,6,20.48518762
2019,7,20.65
2019,8,20.8
2019,9,20.95
2019,10,21.18117182
2019,11,21.91290323
2019,12,22.72580645
2019,13,23.53870968
2019,14,24.3516129
2019,15,24.79333333
2019,16,24.95666667
2019,17,25.12
2019,18,25.28333333
2019,19,25.59021505
2019,20,26.21290323
2019,21,26.84516129
2019,22,27.47741935
2019,23,28.0881106
2019,24,28.44
2019,25,28.72
2019,26,29.0
2019,27,29.28
2019,28,29.27096774
2019,29,29.04516129
2019,30,28.81935484
2019,31,28.59354839
2019,32,28.38156682
2019,33,28.21935484
2019,34,28.06129032
2019,35,27.90322581
2019,36,27.74076805
2019,37,27.43333333
2019,38,27.06
2019,39,26.68666667
2019,40,26.31333333
2019,41,25.8
2019,42,25.1
2019,43,24.4
2019,44,23.7
2019,45,22.98
2019,46,22.13666667
2019,47,21.27333333
2019,48,20.41
2019,49,19.55829493
2019,50,19.09032258
2019,51,18.79677419
2019,52,18.50322581
2020,1,18.20967742
2020,2,18.07511521
2020,3,18.29032258
2020,4,18.51612903
2020,5,18.74193548
2020,6,19.00268552
2020,7,19.68275862
2020,8,20.47931034
2020,9,21.27586207
2020,10,22.05569681
2020,11,22.28387097
2020,12,22.26129032
2020,13,22.23870968
2020,14,22.21612903
2020,15,22.57903226
2020,16,23.79
2020,17,25.02666667
2020,18,26.26333333
2020,19,27.39281106
2020,20,27.86129032
2020,21,28.22258065
2020,22,28.58387097
2020,23,28.94516129
2020,24,29.16666667
2020,25,29.28333333
2020,26,29.4
2020,27,29.51666667
2020,28,29.52158218
2020,29,29.28064516
2020,30,29.03225806
2020,31,28.78387097
2020,32,28.54516129
2020,33,28.42258065
2020,34,28.33225806
2020,35,28.24193548
2020,36,28.1516129
2020,37,27.9
2020,38,27.43333333
2020,39,26.96666667
2020,40,26.5
2020,41,26.02718894
2020,42,25.53225806
2020,43,25.03548387
2020,44,24.53870968
2020,45,24.03112135
2020,46,23.16666667
2020,47,22.14
2020,48,21.11333333
2020,49,20.08666667
2020,50,19.16129032
2020,51,18.37096774
2020,52,17.58064516
2020,53,16.79032258
2021,1,16.1797235
2021,2,16.67741935
2021,3,17.35483871
2021,4,18.03225806
2021,5,18.70967742
2021,6,19.35714286
2021,7,19.98214286
2021,8,20.60714286
2021,9,21.23214286
2021,10,21.80967742
2021,11,22.3516129
2021,12,22.89354839
2021,13,23.43548387
2021,14,24.10015361
2021,15,25.20666667
2021,16,26.35
2021,17,27.49333333
2021,18,28.55284178
2021,19,28.60645161
2021,20,28.38064516
2021,21,28.15483871
2021,22,27.92903226
2021,23,27.92
2021,24,28.2
2021,25,28.48
2021,26,28.76
2021,27,28.9275576
2021,28,28.69032258
2021,29,28.41935484
2021,30,28.1483871
2021,31,27.88847926
2021,32,27.99354839
2021,33,28.26451613
2021,34,28.53548387
2021,35,28.80645161
2021,36,28.83018433
2021,37,28.31
2021,38,27.77333333
2021,39,27.23666667
2021,40,26.64682028
2021,41,25.72903226
2021,42,24.75806452
2021,43,23.78709677
2021,44,22.81612903
2021,45,21.92
2021,46,21.08
2021,47,20.24
2021,48,19.4
2021,49,18.75493088
2021,50,18.53870968
2021,51,18.33548387
2021,52,18.13225806
2022,1,17.92626728
2022,2,17.68709677
2022,3,17.43870968
2022,4,17.19032258
2022,5,16.94193548
2022,6,17.30357143
2022,7,18.47857143
2022,8,19.65357143
2022,9,20.82857143
2022,10,21.69354839
2022,11,22.14516129
2022,12,22.59677419
2022,13,23.0483871
2022,14,23.47612903
2022,15,23.75666667
2022,16,24.01333333
2022,17,24.27
2022,18,24.53709677
2022,19,25.1483871
2022,20,25.91612903
2022,21,26.68387097
2022,22,27.4516129
2022,23,28.0843318
2022,24,28.42
2022,25,28.74666667
2022,26,29.07333333
2022,27,29.34617512
2022,28,29.28709677
2022,29,29.17419355
2022,30,29.06129032
2022,31,28.9483871
2022,32,28.77096774
2022,33,28.54516129
2022,34,28.31935484
2022,35,28.09354839
2022,36,27.80906298
2022,37,27.31333333
2022,38,26.8
2022,39,26.28666667
2022,40,25.78955453
2022,41,25.48709677
2022,42,25.23870968
2022,43,24.99032258
2022,44,24.74193548
2022,45,23.92
2022,46,22.33333333
2022,47,20.74666667
2022,48,19.16
2022,49,17.88331797
2022,50,17.72258065
2022,51,17.65483871
2022,52,17.58709677
2023,1,17.52442396
2023,2,17.62903226
2023,3,17.80967742
2023,4,17.99032258
2023,5,18.17096774
2023,6,18.48763989
2023,7,19.10357143
2023,8,19.72857143
2023,9,20.35357143
2023,10,21.00153061
2023,11,21.7
2023,12,22.4
2023,13,23.1
2023,14,23.79285714
2023,15,24.4
2023,16,24.98333333
2023,17,25.56666667
2023,18,26.15
2023,19,26.69677419
2023,20,27.21612903
2023,21,27.73548387
2023,22,28.25483871
2023,23,28.69677419
2023,24,28.86
2023,25,29.0
2023,26,29.14
2023,27,29.26451613
2023,28,29.20322581
2023,29,29.09032258
2023,30,28.97741935
2023,31,28.86451613
2023,32,28.74193548
2023,33,28.60645161
2023,34,28.47096774
2023,35,28.33548387
2023,36,28.16516129
2023,37,27.78
2023,38,27.36
2023,39,26.94
2023,40,26.51336406
2023,41,25.86774194
2023,42,25.12258065
2023,43,24.37741935
2023,44,23.63225806
2023,45,22.88663594
2023,46,22.14
2023,47,21.39333333
2023,48,20.64666667
2023,49,19.92506912
2023,50,19.35806452
2023,51,18.81612903
2023,52,18.27419355
2024,1,17.73225806
2024,2,17.73225806
2024,3,18.13870968
2024,4,18.54516129
2024,5,18.9516129
2024,6,19.36378516
2024,7,19.79655172
2024,8,20.23103448
2024,9,20.66551724
2024,10,21.18504688
2024,11,22.22903226
2024,12,23.35806452
2024,13,24.48709677
2024,14,25.61612903
2024,15,26.15333333
2024,16,26.24666667
2024,17,26.34
2024,18,26.43333333
2024,19,26.65708141
2024,20,27.16774194
2024,21,27.68709677
2024,22,28.20645161
2024,23,28.70686636
2024,24,28.98
2024,25,29.19
2024,26,29.4
2024,27,29.61
2024,28,29.62258065
2024,29,29.48709677
2024,30,29.3516129
2024,31,29.21612903
2024,32,29.07603687
2024,33,28.91935484
2024,34,28.76129032
2024,35,28.60322581
2024,36,28.44219662
2024,37,28.18333333
2024,38,27.88
2024,39,27.57666667
2024,40,27.27333333
2024,41,26.74193548
2024,42,25.90645161
2024,43,25.07096774
2024,44,24.23548387
2024,45,23.35658986
2024,46,22.21
2024,47,21.02
2024,48,19.83
2024,49,18.65506912
2024,50,17.97741935
2024,51,17.52580645
2024,52,17.07419355
2025,1,16.62258065
2025,2,16.36451613
2025,3,16.53225806
2025,4,16.71290323
2025,5,16.89354839
2025,6,17.10292956
2025,7,17.65714286
2025,8,18.30714286
2025,9,18.95714286
2025,10,19.62402897
2025,11,20.49354839
2025,12,21.41935484
2025,13,22.34516129
2025,14,23.27096774
2025,15,24.11
2025,16,24.83333333
2025,17,25.55666667
2025,18,26.28
2025,19,26.94788018
2025,20,27.41612903
2025,21,27.86774194
2025,22,28.31935484
2025,23,28.75889401
2025,24,28.8
2025,25,28.66
2025,26,28.52
2025,27,28.38
2025,28,28.33870968
2025,29,28.42903226
2025,30,28.51935484
2025,31,28.60967742
2025,32,28.68894009
2025,33,28.7
2025,34,28.7
2025,35,28.7
2025,36,28.7
2025,37,28.56666667
2025,38,28.33333333
2025,39,28.1
2025,40,27.86666667
2025,41,27.49738863
2025,42,25.12258065
2025,43,24.37741935
2025,44,23.63225806
2025,45,22.88663594
2025,46,22.14
2025,47,21.39333333
2025,48,20.64666667
2025,49,19.92506912
2025,50,19.35806452
2025,51,18.81612903
2025,52,18.645238095238092
2025,53,18.27419355
2026,1,17.45059523809524
2026,2,15.435119047619049
2026,3,19.258333333333333
